Source Station,Target Station,Weight
Ravenscourt Park,Stamford Brook,185
Oakwood,Southgate,399
Bond Street,Oxford Circus,2364
Fulham Broadway,West Brompton,429
North Acton,West Acton,178
Burnt Oak,Colindale,533
Oxford Circus,Piccadilly Circus,2434
Source Station,Target Station,Weight
Ravenscourt Park,Stamford Brook,166
Bond Street,Green Park,1531
Moor Park,Northwood,122
Clapham North,Stockwell,478
Buckhurst Hill,Woodford,237
Sloane Square,Victoria,1302
Baker Street,Finchley Road,798
Latimer Road,Wood Lane,482
Euston Square,Great Portland Street,196
Mile End,Stepney Green,334
Aldgate,Liverpool Street,949
Grange Hill,Hainault,83
Harrow-on-the-Hill,West Harrow,219
Leicester Square,Tottenham Court Road,2945
East Putney,Putney Bridge,718
Leytonstone,Snaresbrook,246
Oxford Circus,Regents Park,719
Debden,Theydon Bois,173
Ealing Broadway,Ealing Common,510
Kentish Town,Tufnell Park,349
Barking,Upney,617
Kensal Green,Willesden Junction,339
Holborn,Tottenham Court Road,2020
Becontree,Dagenham Heathway,244
Finchley Road,Swiss Cottage,273
Acton Town,South Ealing,214
Barking,East Ham,816
Canning Town,North Greenwich,1599
Camden Town,Kentish Town,997
Chigwell,Roding Valley,9
East Ham,Upton Park,588
Gunnersbury,Turnham Green,412
Pimlico,Victoria,1110
Colliers Wood,Tooting Broadway,1043
Harrow and Wealdstone,Kenton,251
Greenford,Northolt,313
Bond Street,Oxford Circus,2239
Northolt,South Ruislip,280
Amersham,Chalfont and Latimer,239
Heathrow Terminal 4,Heathrow Terminals 1 2 3,443
Dollis Hill,Willesden Green,291
Hounslow Central,Hounslow East,204
Wimbledon,Wimbledon Park,2113
Belsize Park,Hampstead,435
Euston,Kings Cross St. Pancras,1797
Tooting Bec,Tooting Broadway,1033
Charing Cross,Embankment,821
Bethnal Green,Mile End,535
Gants Hill,Redbridge,226
Golders Green,Hampstead,467
Kilburn,West Hampstead,454
Bethnal Green,Liverpool Street,1018
Chiswick Park,Turnham Green,230
Finchley Central,West Finchley,325
Goldhawk Road,Shepherds Bush Market,334
Euston,Warren Street,569
Parsons Green,Putney Bridge,652
Sloane Square,South Kensington,1315
Colliers Wood,South Wimbledon,747
Lancaster Gate,Marble Arch,515
Monument,Tower Hill,1132
Earls Court,Kensington (Olympia),410
East Acton,North Acton,220
North Ealing,Park Royal,71
Bayswater,Notting Hill Gate,393
Chorleywood,Rickmansworth,120
St. Johns Wood,Swiss Cottage,190
Arsenal,Finsbury Park,787
Baker Street,Bond Street,1374
Finchley Road,West Hampstead,375
Totteridge and Whetstone,Woodside Park,331
Elm Park,Hornchurch,139
Waterloo,Westminster,2021
Angel,Kings Cross St. Pancras,1400
Northfields,South Ealing,159
Harrow-on-the-Hill,Northwick Park,264
Royal Oak,Westbourne Park,175
Fulham Broadway,West Brompton,418
Oxford Circus,Piccadilly Circus,2343
Aldgate East,Tower Hill,870
Moorgate,Old Street,644
Kingsbury,Queensbury,142
Hillingdon,Uxbridge,528
Embankment,Temple,457
Preston Road,Wembley Park,391
Monument,Cannon Street,312
Canons Park,Queensbury,257
Monument,St. Pauls,584
Ruislip Gardens,South Ruislip,180
Hounslow Central,Hounslow West,194
Bond Street,Marble Arch,874
Hyde Park Corner,Knightsbridge,673
Goodge Street,Tottenham Court Road,995
Chalfont and Latimer,Chesham,114
Goodge Street,Warren Street,223
Covent Garden,Holborn,884
Snaresbrook,South Woodford,169
Notting Hill Gate,Queensway,688
Highbury and Islington,Kings Cross St. Pancras,1364
Acton Town,Ealing Common,200
St. Jamess Park,Westminster,485
Canning Town,West Ham,676
Camden Town,Chalk Farm,1012
Kilburn Park,Maida Vale,208
Rayners Lane,South Harrow,124
Archway,Tufnell Park,462
Gloucester Road,South Kensington,1406
Cannon Street,Mansion House,145
Kew Gardens,Richmond,1831
Debden,Loughton,244
Mile End,Stratford,2704
Hatton Cross,Heathrow Terminal 4,231
Monument,London Bridge,2635
Southfields,Wimbledon Park,474
Euston,Mornington Crescent,653
Camden Town,Mornington Crescent,1017
Bermondsey,London Bridge,1735
Barbican,Farringdon,271
Gants Hill,Newbury Park,266
Harlesden,Willesden Junction,315
Stockwell,Vauxhall,1347
Canons Park,Stanmore,330
Oxford Circus,Warren Street,1259
Kilburn,Willesden Green,419
Stamford Brook,Turnham Green,310
Ickenham,Ruislip,104
Monument,Waterloo,2046
Finsbury Park,Seven Sisters,1182
North Wembley,South Kenton,98
Caledonian Road,Kings Cross St. Pancras,1118
Kennington,Nine Elms,303
Rayners Lane,West Harrow,82
Oakwood,Southgate,410
Covent Garden,Leicester Square,1241
Brent Cross,Hendon Central,356
Ealing Broadway,West Acton,436
Ladbroke Grove,Westbourne Park,519
Arnos Grove,Southgate,379
Kenton,South Kenton,156
Lancaster Gate,Queensway,443
East Finchley,Highgate,385
Euston Square,Kings Cross St. Pancras,1016
Finchley Central,Mill Hill East,297
Holland Park,Notting Hill Gate,475
Holland Park,Shepherds Bush,741
Plaistow,Upton Park,309
Kingsbury,Wembley Park,515
North Wembley,Wembley Central,331
Aldgate East,Liverpool Street,1588
Green Park,Oxford Circus,2570
Edgware Road (Bakerloo),Marylebone,232
Canada Water,Canary Wharf,1850
St. Jamess Park,Victoria,907
Finsbury Park,Highbury and Islington,1034
Bow Road,Bromley-by-Bow,151
Neasden,Wembley Park,455
Clapham Common,Clapham South,555
Maida Vale,Warwick Avenue,197
Hatton Cross,Hounslow West,209
Monument,Moorgate,979
Liverpool Street,Moorgate,1725
Stepney Green,Whitechapel,387
Baker Street,St. Johns Wood,571
Shepherds Bush,White City,1137
